timestamp,origin,destination,summary_route,travel_time_seconds,travel_time_minutes,distance_meters,distance_km
2025-05-26T20:06:49.290560,"Gachibowli, Hyderabad, Telangana","Financial District, Hyderabad, Telangana",ISB Rd,1155,19.25,5825,5.83
2025-05-26T20:06:49.551557,"Koti, Hyderabad, Telangana","Begum Bazaar, Hyderabad, Telangana",Malakunta Road,733,12.22,3127,3.13
2025-05-26T20:06:49.815863,"Jubilee Hills Check Post, Hyderabad, Telangana","Banjara Hills Road No 12, Hyderabad, Telangana",LV Prasad Marg/Road No. 2,596,9.93,3160,3.16
2025-05-26T20:06:50.352822,"MGBS, Hyderabad, Telangana","Kukatpally Housing Board, Hyderabad, Telangana",NH 65,3368,56.13,19456,19.46
2025-05-26T20:06:51.672563,"LB Nagar, Hyderabad, Telangana","Dilsukhnagar, Hyderabad, Telangana",Hyderabad - Vijayawada Hwy/Pune - Machilipatnam Hwy,892,14.87,6545,6.54
2025-05-26T20:06:51.999126,"Miyapur, Hyderabad, Telangana","Ameerpet, Hyderabad, Telangana",NH 65,2554,42.57,16860,16.86
2025-05-26T20:06:52.275301,"Paradise Circle, Secunderabad, Telangana","MG Road, Secunderabad, Telangana",NH 44,268,4.47,1167,1.17
2025-05-26T20:06:52.520622,"Secunderabad Railway Station, Malkajgiri, Secunderabad","ECIL X Road, Hyderabad, Telangana",Lalapet - Moula Ali Rd,1936,32.27,12280,12.28
2025-05-26T20:06:53.052108,"ECIL X Road, Hyderabad, Telangana","Keesara, Hyderabad, Telangana",ECIL - Keesara Rd,1797,29.95,14557,14.56
2025-05-26T20:12:01.205484,"Secunderabad Railway Station, Secunderabad, Telangana","Hitech City, Hyderabad, Telangana",Road No. 36,2919,48.65,17501,17.5
2025-05-26T20:12:01.435614,"Gachibowli, Hyderabad, Telangana","Financial District, Hyderabad, Telangana",ISB Rd,1070,17.83,5825,5.83
2025-05-26T20:12:01.662812,"Koti, Hyderabad, Telangana","Begum Bazaar, Hyderabad, Telangana",Malakunta Road,749,12.48,3134,3.13
2025-05-26T20:12:02.037626,"Jubilee Hills Check Post, Hyderabad, Telangana","Banjara Hills Road No 12, Hyderabad, Telangana",LV Prasad Marg/Road No. 2,544,9.07,3160,3.16
2025-05-26T20:12:02.670496,"MGBS, Hyderabad, Telangana","Kukatpally Housing Board, Hyderabad, Telangana",NH 65,3241,54.02,19464,19.46
